id,change_date,store_code,old_plan_name,old_plan_speed,old_plan_quota,old_plan_price,new_plan_name,new_plan_speed,new_plan_quota,new_plan_price,number_of_movements
18985,12/9/2019,101-001,Super ,30,140,120,Super ,30,250,210,2
18986,12/4/2019,101-TEGCCADSD,Super ,30,140,120,Super ,30,250,210,11
18987,12/4/2019,TEOPS10021,Super ,30,140,120,Super ,30,250,210,1
18988,12/4/2019,TEODO07054,Super ,30,600,500,Super ,30,250,210,1
18989,12/4/2019,ASFAL0503001,Super ,30,250,210,Super ,30,140,120,1
18990,12/4/2019,TEODK07015,Super ,30,140,120,Super ,30,250,210,2
18991,12/4/2019,TEOBE09011,Super ,30,250,210,Super ,30,140,120,1
18992,12/4/2019,TDPAL05021,Super ,30,250,210,Super ,30,140,120,1
18993,12/4/2019,TEOGH08017,Super ,30,250,210,Super ,30,140,120,2
18994,12/3/2019,TEECA01011,Super ,30,250,210,Super ,30,600,500,1
18995,12/3/2019,TEOCA01011,Super ,30,250,210,Super ,30,600,500,2
18996,12/3/2019,TEOIS10011,Super ,30,140,120,Super ,30,250,210,1
18997,12/3/2019,TRFR00010,Super ,30,140,120,Super ,30,250,210,1
18998,12/3/2019,TDOCA01011,Super ,30,250,210,Mega ,70,250,310,2
18999,12/3/2019,TEOGI04024,Super ,30,250,210,Super ,30,140,120,2
19000,12/8/2019,TEOAL05029,Mega ,70,250,310,Super ,30,250,210,1
19001,12/8/2019,TEOCA01026,Super ,30,140,120,Super ,30,250,210,4
19002,12/8/2019,TEOAT13011,Super ,30,250,210,Super ,30,140,120,2
19003,12/8/2019,TEOBE09011,Mega ,70,250,310,Super ,30,140,120,1
19004,12/8/2019,TEODK07026,Super ,30,140,120,Super ,30,250,210,1
19005,12/8/2019,TEOCA02032,Super ,30,140,120,Super ,30,250,210,4
19006,12/8/2019,TEOFA12024,Super ,30,250,210,Super ,30,140,120,1
19007,12/8/2019,TEOIS10013,Super ,30,140,120,Super ,30,250,210,1
19008,12/8/2019,TEECA01011,Super ,30,250,210,Super ,30,140,120,1
19009,12/9/2019,TEECA01021,Super ,30,250,210,Super ,30,250,210,1
19010,12/9/2019,TEOMA06031,Super ,30,140,120,Super ,30,250,210,1
19011,12/9/2019,TEOSO13028,Super ,30,250,210,Super ,30,140,120,1
